,Year,Pop.,±% p.a.
0,1950,66923000,0
1,1960,84305000,+2.34
2,1970,110428000,+2.74
3,1980,147512000,+2.94
4,1990,198232000,+3.00
5,2000,259373000,+2.72
6,2010,342743000,+2.83
7,2021,461141845,+2.73
8,1950,26401000,0
9,1960,32216000,+2.01
10,1970,40846000,+2.40
11,1980,53135000,+2.67
12,1990,70886000,+2.92
13,2000,96113000,+3.09
14,2010,130598000,+3.11
15,2021,190267973,+3.48
16,1950,49222000,0
17,1960,63697000,+2.61
18,1970,82883000,+2.67
19,1980,106908000,+2.58
20,1990,140117000,+2.74
21,2000,171891000,+2.06
22,2010,203717000,+1.71
23,2021,255737736,+2.09
24,1950,15588000,0
25,1960,19724000,+2.38
26,1970,25454000,+2.58
27,1980,32997000,+2.63
28,1990,42049000,+2.45
29,2000,51451000,+2.04
30,2010,59067000,+1.39
31,2021,67984554,+1.29
32,1950,70769000,0
33,1960,84946000,+1.84
34,1970,106015000,+2.24
35,1980,137414000,+2.63
36,1990,180331000,+2.76
37,2000,235235000,+2.69
38,2010,307982000,+2.73
39,2021,418544337,+2.83
40,1950,228902000,0
41,1960,284887000,+2.21
42,1970,365626000,+2.53
43,1980,477965000,+2.72
44,1990,631614000,+2.83
45,2000,814063000,+2.57
46,2010,1044107000,+2.52
47,2021,1393676444,+2.66
48,1950,340459000,0
49,1960,425357000,+2.25
50,1970,519522000,+2.02
51,1980,619252000,+1.77
52,1990,727522000,+1.62
53,2000,840614000,+1.46
54,2010,943952000,+1.17
55,2021,1031377044,+0.81
56,1950,17076000,0
57,1960,20724000,+1.96
58,1970,25306000,+2.02
59,1980,29748000,+1.63
60,1990,34198000,+1.40
61,2000,38314000,+1.14
62,2010,41621000,+0.83
63,2021,44182048,+0.54
64,1950,38029000,0
65,1960,51400000,+3.06
66,1970,69702000,+3.09
67,1980,92425000,+2.86
68,1990,114823000,+2.19
69,2000,138780000,+1.91
70,2010,161117000,+1.50
71,2021,177661929,+0.89
72,1950,171615000,0
73,1960,204167000,+1.75
74,1970,231029000,+1.24
75,1980,254217000,+0.96
76,1990,280633000,+0.99
77,2000,313724000,+1.12
78,2010,344129000,+0.93
79,2021,375278947,+0.79
80,1950,226719000,0
81,1960,276291000,+2.00
82,1970,326036000,+1.67
83,1980,376390000,+1.45
84,1990,429653000,+1.33
85,2000,490818000,+1.34
86,2010,546867000,+1.09
87,2021,597122924,+0.80
88,1950,113739000,0
89,1960,149066000,+2.74
90,1970,193486000,+2.64
91,1980,242862000,+2.30
92,1990,297869000,+2.06
93,2000,349796000,+1.62
94,2010,397085000,+1.28
95,2021,434254119,+0.82
96,1950,18131000,0
97,1960,24616000,+3.10
98,1970,33156000,+3.02
99,1980,41277000,+2.21
100,1990,50407929,+2.02
101,2000,55117000,+0.90
102,2010,62139000,+1.21
103,2021,75897577,+1.83
104,1950,666586000,0
105,1960,788145000,+1.69
106,1970,978113000,+2.18
107,1980,1173372000,+1.84
108,1990,1368592000,+1.55
109,2000,1496284000,+0.90
110,2010,1575320000,+0.52
111,2021,1663696923,+0.50
112,1950,164900000,0
113,1960,213838000,+2.63
114,1970,281521000,+2.79
115,1980,358106000,+2.44
116,1990,445665000,+2.21
117,2000,526179000,+1.67
118,2010,596708000,+1.27
119,2021,675796065,+1.14
120,1950,493443000,0
121,1960,593943000,+1.87
122,1970,741603000,+2.25
123,1980,939043000,+2.39
124,1990,1189261000,+2.39
125,2000,1451933000,+2.02
126,2010,1702969000,+1.61
127,2021,1989452478,+1.42
128,1950,50957000,0
129,1960,66156000,+2.64
130,1970,86037000,+2.66
131,1980,113786000,+2.83
132,1990,148552000,+2.70
133,2000,184957000,+2.22
134,2010,232703000,+2.32
135,2021,289733123,+2.01
136,1950,1394018000,0
137,1960,1686698000,+1.92
138,1970,2120430000,+2.31
139,1980,2625584000,+2.16
140,1990,3202475000,+2.01
141,2000,3714470000,+1.49
142,2010,4169850000,+1.16
143,2021,4694576167,+1.08
144,1950,220171000,0
145,1960,253630000,+1.42
146,1970,276396000,+0.86
147,1980,295042000,+0.65
148,1990,310027000,+0.50
149,2000,303789000,−0.20
150,2010,294591000,−0.31
151,2021,291464162,−0.10
152,1950,78030000,0
153,1960,81790000,+0.47
154,1970,87305000,+0.65
155,1980,89833000,+0.29
156,1990,92040000,+0.24
157,2000,94397000,+0.25
158,2010,99682000,+0.55
159,2021,106197357,+0.58
160,1950,108633000,0
161,1960,117879000,+0.82
162,1970,127617000,+0.80
163,1980,138495000,+0.82
164,1990,143404000,+0.35
165,2000,145058000,+0.11
166,2010,153360000,+0.56
167,2021,152130606,−0.07
168,1950,142256000,0
169,1960,152320000,+0.69
170,1970,165903000,+0.86
171,1980,170489000,+0.27
172,1990,175615000,+0.30
173,2000,183163000,+0.42
174,2010,187762000,+0.25
175,2021,195381649,+0.36
176,1950,549089000,0
177,1960,605619000,+0.98
178,1970,657221000,+0.82
179,1980,693859000,+0.54
180,1990,721086000,+0.39
181,2000,726407000,+0.07
182,2010,735395000,+0.12
183,2021,745173774,+0.12
184,1950,12682000,0
185,1960,15784000,+2.21
186,1970,19688000,+2.23
187,1980,22972000,+1.55
188,1990,26971000,+1.62
189,2000,31068000,+1.42
190,2010,36411000,+1.60
191,2016,39901000,+1.54
192,2021,44491724,+2.20
193,1950,2525149000,0
194,1960,3018344000,+1.80
195,1970,3682488000,+2.01
196,1980,4439632000,+1.89
197,1990,5309668000,+1.81
198,2000,6126622000,+1.44
199,2010,6929725000,+1.24
200,2021,7909295151,+1.21
